aqicn_country,aqicn_city,iso_alpha_3
AT,Graz,AUT
AT,Innsbruck,AUT
AT,Linz,AUT
AT,Salzburg,AUT
AT,Vienna,AUT
BE,Antwerpen,BEL
BE,Brussels,BEL
BE,Charleroi,BEL
BE,Gent,BEL
BE,Liège,BEL
BE,Namur,BEL
CZ,Brno,CZE
CZ,Olomouc,CZE
CZ,Ostrava,CZE
CZ,Pilsen,CZE
CZ,Prague,CZE
DE,Augsburg,DEU
DE,Berlin,DEU
DE,Darmstadt,DEU
DE,Dresden,DEU
DE,Düsseldorf,DEU
DE,Freiburg,DEU
DE,Hamburg,DEU
DE,Hannover,DEU
DE,Karlsruhe,DEU
DE,Kassel,DEU
DE,Köln,DEU
DE,Mainz,DEU
DE,Munich,DEU
DE,Münster,DEU
DE,Potsdam,DEU
DE,Stuttgart,DEU
DE,Wiesbaden,DEU
ES,Barcelona,ESP
ES,Bilbao,ESP
ES,Burgos,ESP
ES,Castelló de la Plana,ESP
ES,Córdoba,ESP
ES,Donostia / San Sebastián,ESP
ES,Gasteiz / Vitoria,ESP
ES,Granada,ESP
ES,Huelva,ESP
ES,Las Palmas de Gran Canaria,ESP
ES,Madrid,ESP
ES,Murcia,ESP
ES,Málaga,ESP
ES,Oviedo,ESP
ES,Palma,ESP
ES,Pamplona,ESP
ES,Salamanca,ESP
ES,Santa Cruz de Tenerife,ESP
ES,Santander,ESP
ES,Sevilla,ESP
ES,Valencia,ESP
ES,Valladolid,ESP
ES,Zaragoza,ESP
FR,Amiens,FRA
FR,Besançon,FRA
FR,Bordeaux,FRA
FR,Caen,FRA
FR,Clermont-Ferrand,FRA
FR,Dijon,FRA
FR,Grenoble,FRA
FR,Lille,FRA
FR,Limoges,FRA
FR,Lyon,FRA
FR,Marseille,FRA
FR,Metz,FRA
FR,Montpellier,FRA
FR,Nancy,FRA
FR,Nantes,FRA
FR,Nice,FRA
FR,Nîmes,FRA
FR,Orléans,FRA
FR,Paris,FRA
FR,Perpignan,FRA
FR,Rennes,FRA
FR,Rouen,FRA
FR,Saint-Étienne,FRA
FR,Strasbourg,FRA
FR,Toulon,FRA
FR,Toulouse,FRA
FR,Tours,FRA
GB,Belfast,GBR
GB,Birmingham,GBR
GB,Bristol,GBR
GB,Cardiff,GBR
GB,Coventry,GBR
GB,Edinburgh,GBR
GB,Glasgow,GBR
GB,Leeds,GBR
GB,Leicester,GBR
GB,Liverpool,GBR
GB,London,GBR
GB,Manchester,GBR
GB,Newport,GBR
GB,Norwich,GBR
GB,Plymouth,GBR
GB,Preston,GBR
GB,Reading,GBR
GB,Sheffield,GBR
GB,Southend-on-Sea,GBR
GB,Swansea,GBR
IT,Bologna,ITA
IT,Brescia,ITA
IT,Florence,ITA
IT,Livorno,ITA
IT,Milan,ITA
IT,Modena,ITA
IT,Naples,ITA
IT,Parma,ITA
IT,Prato,ITA
IT,Rome,ITA
IT,Trieste,ITA
IT,Turin,ITA
NL,Amsterdam,NLD
NL,Breda,NLD
NL,Dordrecht,NLD
NL,Eindhoven,NLD
NL,Groningen,NLD
NL,Haarlem,NLD
NL,Maastricht,NLD
NL,Nijmegen,NLD
NL,Rotterdam,NLD
NL,The Hague,NLD
NL,Utrecht,NLD
